fecha,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,snowfall,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,direct_radiation,diffuse_radiation,is_day,soil_temperature_0_to_7cm,surface_pressure,region
2016-01-01T00:00,8.1,88,4.6,0.0,0.0,3,91,17.9,171,0.0,0.0,0.0,0,8.2,988.9,Galicia
2016-01-01T01:00,8.1,85,4.3,0.0,0.0,3,99,18.6,171,0.0,0.0,0.0,0,8.1,988.3,Galicia
2016-01-01T02:00,8.4,80,4.4,0.0,0.0,3,94,19.7,171,0.0,0.0,0.0,0,8.2,987.5,Galicia
2016-01-01T03:00,8.8,77,4.5,0.0,0.0,3,86,20.6,174,0.0,0.0,0.0,0,8.3,986.8,Galicia
2016-01-01T04:00,8.8,75,4.3,0.0,0.0,3,86,22.5,174,0.0,0.0,0.0,0,8.3,985.5,Galicia
2016-01-01T05:00,8.9,74,4.0,0.0,0.0,3,94,24.6,173,0.0,0.0,0.0,0,8.3,984.5,Galicia
2016-01-01T06:00,9.2,74,4.1,0.0,0.0,3,88,26.4,175,0.0,0.0,0.0,0,8.5,982.9,Galicia
2016-01-01T07:00,9.2,78,3.9,0.0,0.0,3,82,28.9,175,0.0,0.0,0.0,0,8.5,981.5,Galicia
2016-01-01T08:00,9.6,77,4.2,0.3,0.0,51,58,29.8,172,0.0,0.0,0.0,0,8.6,980.2,Galicia
2016-01-01T09:00,9.7,79,4.4,0.2,0.0,51,100,30.5,173,0.0,0.0,0.0,0,8.7,978.9,Galicia
2016-01-01T10:00,10.2,83,4.8,0.9,0.0,53,97,33.2,177,9.0,0.0,9.0,1,8.9,978.1,Galicia
2016-01-01T11:00,10.7,86,5.3,2.3,0.0,61,96,34.0,190,26.0,0.0,26.0,1,9.2,977.3,Galicia
2016-01-01T12:00,11.3,90,6.5,2.6,0.0,63,100,32.4,203,71.0,11.0,60.0,1,9.6,976.9,Galicia
2016-01-01T13:00,11.4,93,6.6,3.1,0.0,63,55,33.9,227,27.0,0.0,27.0,1,9.9,977.9,Galicia
2016-01-01T14:00,11.2,89,6.0,1.0,0.0,55,31,34.3,234,176.0,115.0,61.0,1,10.1,978.0,Galicia
2016-01-01T15:00,11.2,78,5.5,0.1,0.0,51,38,34.7,236,221.0,143.0,78.0,1,10.2,978.4,Galicia
2016-01-01T16:00,10.5,80,5.2,0.1,0.0,51,66,31.3,240,189.0,110.0,79.0,1,10.1,978.8,Galicia
2016-01-01T17:00,10.2,83,5.5,0.3,0.0,51,53,28.2,243,96.0,37.0,59.0,1,10.0,979.6,Galicia
2016-01-01T18:00,9.2,85,4.6,0.5,0.0,53,56,25.8,242,36.0,14.0,22.0,1,9.5,980.5,Galicia
2016-01-01T19:00,8.7,87,4.1,0.2,0.0,51,56,25.3,242,0.0,0.0,0.0,0,9.1,981.4,Galicia
2016-01-01T20:00,8.7,85,4.3,0.3,0.0,51,62,23.8,243,0.0,0.0,0.0,0,8.9,982.5,Galicia
2016-01-01T21:00,8.3,86,4.0,0.5,0.0,53,58,22.7,247,0.0,0.0,0.0,0,8.7,983.5,Galicia
2016-01-01T22:00,7.8,86,3.3,0.2,0.0,51,54,23.2,251,0.0,0.0,0.0,0,8.4,984.4,Galicia
2016-01-01T23:00,7.7,82,3.7,0.0,0.0,2,75,18.7,245,0.0,0.0,0.0,0,8.2,984.3,Galicia
2016-01-02T00:00,7.3,79,3.3,0.2,0.0,51,85,17.7,243,0.0,0.0,0.0,0,7.9,984.7,Galicia
2016-01-02T01:00,6.9,83,2.9,0.2,0.0,51,97,18.2,243,0.0,0.0,0.0,0,7.8,985.2,Galicia
2016-01-02T02:00,6.9,85,2.9,0.2,0.0,51,98,18.1,249,0.0,0.0,0.0,0,7.7,985.5,Galicia
2016-01-02T03:00,6.5,86,2.7,0.4,0.0,51,92,16.6,252,0.0,0.0,0.0,0,7.6,986.3,Galicia
2016-01-02T04:00,6.2,89,2.6,0.5,0.0,53,63,15.5,252,0.0,0.0,0.0,0,7.4,986.5,Galicia
2016-01-02T05:00,6.1,89,2.7,0.2,0.0,51,49,14.0,252,0.0,0.0,0.0,0,7.3,987.1,Galicia
2016-01-02T06:00,5.7,91,2.5,0.2,0.0,51,46,12.9,247,0.0,0.0,0.0,0,7.1,987.3,Galicia
2016-01-02T07:00,5.3,93,2.4,0.2,0.0,51,36,10.6,242,0.0,0.0,0.0,0,6.9,987.4,Galicia
2016-01-02T08:00,5.6,91,2.7,0.1,0.0,51,46,10.3,234,0.0,0.0,0.0,0,6.8,988.3,Galicia
2016-01-02T09:00,5.5,91,2.6,0.2,0.0,51,50,10.2,228,0.0,0.0,0.0,0,6.6,989.1,Galicia
2016-01-02T10:00,6.0,92,3.2,0.1,0.0,51,39,10.6,215,24.0,11.0,13.0,1,6.9,989.6,Galicia
2016-01-02T11:00,7.5,89,4.7,0.0,0.0,1,39,12.1,217,126.0,81.0,45.0,1,7.7,990.2,Galicia
2016-01-02T12:00,8.7,83,5.6,0.0,0.0,1,30,14.3,221,241.0,170.0,71.0,1,8.7,990.1,Galicia
2016-01-02T13:00,9.2,79,5.5,0.1,0.0,51,31,18.2,232,284.0,197.0,87.0,1,9.2,989.9,Galicia
2016-01-02T14:00,9.7,75,5.8,0.0,0.0,1,31,18.6,229,245.0,161.0,84.0,1,9.4,989.3,Galicia
2016-01-02T15:00,10.1,70,6.0,0.0,0.0,2,52,20.1,226,226.0,85.0,141.0,1,9.7,988.6,Galicia
2016-01-02T16:00,10.1,71,6.1,0.0,0.0,1,49,19.1,224,172.0,63.0,109.0,1,9.7,988.8,Galicia
2016-01-02T17:00,9.7,74,6.2,0.0,0.0,3,95,16.2,212,109.0,27.0,82.0,1,9.5,988.7,Galicia
2016-01-02T18:00,9.1,77,5.6,0.0,0.0,3,100,16.1,200,33.0,5.0,28.0,1,9.1,988.4,Galicia
2016-01-02T19:00,8.7,80,5.1,0.0,0.0,3,100,17.1,195,0.0,0.0,0.0,0,8.7,987.8,Galicia
2016-01-02T20:00,9.5,78,5.7,0.0,0.0,3,100,18.6,195,0.0,0.0,0.0,0,8.8,987.4,Galicia
2016-01-02T21:00,9.6,78,5.7,0.0,0.0,3,100,20.4,194,0.0,0.0,0.0,0,8.8,986.6,Galicia
2016-01-02T22:00,9.6,80,5.4,0.0,0.0,3,100,23.0,197,0.0,0.0,0.0,0,8.8,986.1,Galicia
2016-01-02T23:00,9.6,82,5.1,0.1,0.0,51,100,25.3,200,0.0,0.0,0.0,0,8.9,985.4,Galicia
2016-01-03T00:00,9.6,85,4.9,0.2,0.0,51,100,27.1,202,0.0,0.0,0.0,0,9.0,984.9,Galicia
2016-01-03T01:00,9.7,87,5.0,0.5,0.0,53,100,28.1,199,0.0,0.0,0.0,0,9.0,983.3,Galicia
2016-01-03T02:00,9.6,91,4.8,0.7,0.0,53,100,29.9,202,0.0,0.0,0.0,0,9.1,981.9,Galicia
